iteration=258,error=5.788013,theta1=-0.100941,theta2=0.811801
iteration=259,error=5.787540,theta1=-0.101625,theta2=0.811870
iteration=260,error=5.787068,theta1=-0.102309,theta2=0.811938
iteration=261,error=5.786596,theta1=-0.102992,theta2=0.812007
iteration=262,error=5.786123,theta1=-0.103676,theta2=0.812076
iteration=263,error=5.785652,theta1=-0.104360,theta2=0.812144
iteration=264,error=5.785180,theta1=-0.105043,theta2=0.812213
iteration=265,error=5.784708,theta1=-0.105727,theta2=0.812282
iteration=266,error=5.784237,theta1=-0.106410,theta2=0.812350
iteration=267,error=5.783765,theta1=-0.107093,theta2=0.812419
iteration=268,error=5.783294,theta1=-0.107776,theta2=0.812487
iteration=269,error=5.782823,theta1=-0.108459,theta2=0.812556
iteration=270,error=5.782353,theta1=-0.109141,theta2=0.812625
iteration=271,error=5.781882,theta1=-0.109824,theta2=0.812693
iteration=272,error=5.781412,theta1=-0.110506,theta2=0.812762
iteration=273,error=5.780942,theta1=-0.111189,theta2=0.812830
iteration=274,error=5.780471,theta1=-0.111871,theta2=0.812899
iteration=275,error=5.780002,theta1=-0.112553,theta2=0.812967
iteration=276,error=5.779532,theta1=-0.113235,theta2=0.813036
iteration=277,error=5.779062,theta1=-0.113917,theta2=0.813104
iteration=278,error=5.778593,theta1=-0.114598,theta2=0.813173
iteration=279,error=5.778124,theta1=-0.115280,theta2=0.813241
iteration=280,error=5.777655,theta1=-0.115961,theta2=0.813310
iteration=281,error=5.777186,theta1=-0.116643,theta2=0.813378
iteration=282,error=5.776717,theta1=-0.117324,theta2=0.813447
iteration=283,error=5.776249,theta1=-0.118005,theta2=0.813515
iteration=284,error=5.775780,theta1=-0.118686,theta2=0.813584
iteration=285,error=5.775312,theta1=-0.119367,theta2=0.813652
iteration=286,error=5.774844,theta1=-0.120048,theta2=0.813720
iteration=287,error=5.774376,theta1=-0.120728,theta2=0.813789
iteration=288,error=5.773908,theta1=-0.121409,theta2=0.813857
iteration=289,error=5.773441,theta1=-0.122089,theta2=0.813925
iteration=290,error=5.772973,theta1=-0.122769,theta2=0.813994
iteration=291,error=5.772506,theta1=-0.123450,theta2=0.814062
iteration=292,error=5.772039,theta1=-0.124130,theta2=0.814130
iteration=293,error=5.771572,theta1=-0.124809,theta2=0.814199
iteration=294,error=5.771106,theta1=-0.125489,theta2=0.814267
iteration=295,error=5.770639,theta1=-0.126169,theta2=0.814335
iteration=296,error=5.770173,theta1=-0.126848,theta2=0.814403
iteration=297,error=5.769707,theta1=-0.127528,theta2=0.814472
iteration=298,error=5.769241,theta1=-0.128207,theta2=0.814540
iteration=299,error=5.768775,theta1=-0.128886,theta2=0.814608
iteration=300,error=5.768309,theta1=-0.129565,theta2=0.814676
iteration=301,error=5.767844,theta1=-0.130244,theta2=0.814745
iteration=302,error=5.767378,theta1=-0.130923,theta2=0.814813
iteration=303,error=5.766913,theta1=-0.131601,theta2=0.814881
iteration=304,error=5.766448,theta1=-0.132280,theta2=0.814949
iteration=305,error=5.765983,theta1=-0.132958,theta2=0.815017
iteration=306,error=5.765519,theta1=-0.133637,theta2=0.815085
iteration=307,error=5.765054,theta1=-0.134315,theta2=0.815154
iteration=308,error=5.764590,theta1=-0.134993,theta2=0.815222
iteration=309,error=5.764126,theta1=-0.135671,theta2=0.815290
iteration=310,error=5.763662,theta1=-0.136349,theta2=0.815358
iteration=311,error=5.763198,theta1=-0.137026,theta2=0.815426
iteration=312,error=5.762734,theta1=-0.137704,theta2=0.815494
iteration=313,error=5.762271,theta1=-0.138381,theta2=0.815562
iteration=314,error=5.761807,theta1=-0.139059,theta2=0.815630
iteration=315,error=5.761344,theta1=-0.139736,theta2=0.815698
iteration=316,error=5.760881,theta1=-0.140413,theta2=0.815766
iteration=317,error=5.760418,theta1=-0.141090,theta2=0.815834
iteration=318,error=5.759956,theta1=-0.141767,theta2=0.815902
iteration=319,error=5.759493,theta1=-0.142443,theta2=0.815970
iteration=320,error=5.759031,theta1=-0.143120,theta2=0.816038
iteration=321,error=5.758569,theta1=-0.143796,theta2=0.816106
iteration=322,error=5.758107,theta1=-0.144473,theta2=0.816174
iteration=323,error=5.757645,theta1=-0.145149,theta2=0.816242
iteration=324,error=5.757183,theta1=-0.145825,theta2=0.816310
iteration=325,error=5.756722,theta1=-0.146501,theta2=0.816378
iteration=326,error=5.756260,theta1=-0.147177,theta2=0.816446
iteration=327,error=5.755799,theta1=-0.147852,theta2=0.816514
iteration=328,error=5.755338,theta1=-0.148528,theta2=0.816581
iteration=329,error=5.754877,theta1=-0.149204,theta2=0.816649
iteration=330,error=5.754417,theta1=-0.149879,theta2=0.816717
iteration=331,error=5.753956,theta1=-0.150554,theta2=0.816785
iteration=332,error=5.753496,theta1=-0.151229,theta2=0.816853
iteration=333,error=5.753036,theta1=-0.151904,theta2=0.816921
iteration=334,error=5.752576,theta1=-0.152579,theta2=0.816988
iteration=335,error=5.752116,theta1=-0.153254,theta2=0.817056
iteration=336,error=5.751656,theta1=-0.153928,theta2=0.817124
iteration=337,error=5.751197,theta1=-0.154603,theta2=0.817192
iteration=338,error=5.750737,theta1=-0.155277,theta2=0.817259
iteration=339,error=5.750278,theta1=-0.155952,theta2=0.817327
